rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,level,metric,p_fdr
snoRNA,60,0.2419156600974782,0.265314514315138,0.1384082827582112,0.1644736842105263,0.3539915966386555,0.1895179124281291,0.181168116796866,AlcoR,lcr,fcr,0.181168116796866
tRNA,245,0.25,0.2665174853600061,0.1044174105971523,0.2,0.3157894736842105,0.1157894736842105,0.181168116796866,AlcoR,lcr,fcr,0.181168116796866
unknown,885,0.2583025830258303,0.2613830616541729,0.1174359403832553,0.2,0.3157894736842105,0.1157894736842105,0.181168116796866,AlcoR,lcr,fcr,0.181168116796866
diverse,60,0.0,0.0248322918367446,0.1063715145129784,-0.0299090264650283,0.0635416666666666,0.093450693131695,1.9685040120841013e-09,AlcoR,lcr,ncpr,7.874016048336407e-09
mRNA,1040,0.0,0.0035771157418888,0.1254961256996116,-0.0555555555555555,0.0571428571428571,0.1126984126984126,1.9685040120841013e-09,AlcoR,lcr,ncpr,7.874016048336407e-09
ncRNA,196,0.0080445170265529,0.0170940106714245,0.1267075182123924,-0.0387009256303862,0.0776923076923077,0.1163932333226939,1.9685040120841013e-09,AlcoR,lcr,ncpr,7.874016048336407e-09
pre-rRNA,133,0.0,0.0053432089437369,0.152583392879799,-0.0555555555555555,0.0833333333333333,0.1388888888888889,1.9685040120841013e-09,AlcoR,lcr,ncpr,7.874016048336407e-09
ribosomal protein,98,0.0822072072072072,0.0903362562899563,0.1243455983361091,0.0,0.1666666666666667,0.1666666666666667,1.9685040120841013e-09,AlcoR,lcr,ncpr,7.874016048336407e-09
snRNA,87,0.0,0.0067414708906266,0.1237277970646105,-0.0717205323193916,0.0611007462686567,0.1328212785880483,1.9685040120841013e-09,AlcoR,lcr,ncpr,7.874016048336407e-09
snoRNA,60,0.0,-0.0209264360727382,0.1365087826386629,-0.0860248447204969,0.0377668308702791,0.123791675590776,1.9685040120841013e-09,AlcoR,lcr,ncpr,7.874016048336407e-09
tRNA,245,0.0,0.0060954483046168,0.1162723777192303,-0.0514705882352941,0.0625,0.1139705882352941,1.9685040120841013e-09,AlcoR,lcr,ncpr,7.874016048336407e-09
unknown,885,0.0,-0.0002612431627593,0.1288553359242178,-0.0517241379310344,0.0625,0.1142241379310344,1.9685040120841013e-09,AlcoR,lcr,ncpr,7.874016048336407e-09
diverse,60,0.1345111178799878,0.1529904680005121,0.0892886993057208,0.0966827245563753,0.190625,0.0939422754436246,0.0020964563776916,AlcoR,lcr,frac_GS,0.0027952751702555
mRNA,1040,0.1409299810759664,0.1552127191677138,0.1043125292537138,0.0909090909090909,0.1958850574712643,0.1049759665621734,0.0020964563776916,AlcoR,lcr,frac_GS,0.0027952751702555
ncRNA,196,0.1304347826086956,0.1303143560230447,0.0790644573288078,0.0714285714285714,0.1746543919745535,0.103225820545982,0.0020964563776916,AlcoR,lcr,frac_GS,0.0027952751702555
pre-rRNA,133,0.14,0.1376750719404829,0.080387661345214,0.0833333333333333,0.1764705882352941,0.0931372549019607,0.0020964563776916,AlcoR,lcr,frac_GS,0.0027952751702555
ribosomal protein,98,0.11,0.1188411983447454,0.0769314250152373,0.0816441441441441,0.1482142857142857,0.0665701415701415,0.0020964563776916,AlcoR,lcr,frac_GS,0.0027952751702555
snRNA,87,0.1304347826086956,0.1398835357440124,0.0754912801589585,0.0833333333333333,0.1875457875457875,0.1042124542124542,0.0020964563776916,AlcoR,lcr,frac_GS,0.0027952751702555
snoRNA,60,0.1361296963458569,0.1400458940119607,0.0797021348271924,0.0769230769230769,0.1748868778280543,0.0979638009049774,0.0020964563776916,AlcoR,lcr,frac_GS,0.0027952751702555
tRNA,245,0.125,0.1296587733802656,0.0723948778615771,0.081967213114754,0.1666666666666667,0.0846994535519126,0.0020964563776916,AlcoR,lcr,frac_GS,0.0027952751702555
unknown,885,0.1333333333333333,0.143545008661111,0.0901186480077429,0.0909090909090909,0.1764705882352941,0.0855614973262031,0.0020964563776916,AlcoR,lcr,frac_GS,0.0027952751702555
diverse,27,94.0,156.74074074074073,259.67592118943963,41.0,167.0,126.0,6.106214531577585e-06,CAST,lcr,length,9.15932179736638e-06
mRNA,879,85.0,153.19226393629123,231.7301089683852,46.0,165.5,119.5,6.106214531577585e-06,CAST,lcr,length,9.15932179736638e-06
ncRNA,124,66.5,146.76612903225808,226.8136697702541,35.75,155.0,119.25,6.106214531577585e-06,CAST,lcr,length,9.15932179736638e-06
pre-rRNA,119,86.0,142.38655462184877,179.2858766897204,52.0,157.5,105.5,6.106214531577585e-06,CAST,lcr,length,9.15932179736638e-06
ribosomal protein,48,42.5,60.29166666666666,39.03296933408296,31.0,89.0,58.0,6.106214531577585e-06,CAST,lcr,length,9.15932179736638e-06
snRNA,109,76.0,111.13761467889908,111.04807666634572,39.0,118.0,79.0,6.106214531577585e-06,CAST,lcr,length,9.15932179736638e-06
snoRNA,52,71.0,113.34615384615384,117.97654878554644,39.75,144.5,104.75,6.106214531577585e-06,CAST,lcr,length,9.15932179736638e-06
tRNA,62,52.5,74.12903225806451,87.50690537079181,32.25,81.25,49.0,6.106214531577585e-06,CAST,lcr,length,9.15932179736638e-06
unknown,460,82.5,144.2826086956522,175.43541388881243,44.0,176.5,132.5,6.106214531577585e-06,CAST,lcr,length,9.15932179736638e-06
diverse,27,0.1188760806916426,0.1786958100128055,0.2033837045371903,0.0541400222731034,0.2419180077445024,0.187777985471399,1.726115881219506e-14,CAST,lcr,coverage_per_lcr,5.178347643658519e-14
mRNA,879,0.1299040976460331,0.2065493439299657,0.2081311242031351,0.060409533249234,0.2736028999656488,0.2131933667164147,1.726115881219506e-14,CAST,lcr,coverage_per_lcr,5.178347643658519e-14
ncRNA,124,0.0933834367470145,0.1566189671424559,0.186853044902358,0.0385746115246619,0.1958530121788269,0.1572784006541649,1.726115881219506e-14,CAST,lcr,coverage_per_lcr,5.178347643658519e-14
pre-rRNA,119,0.1635883905013192,0.2337415762672031,0.1974484144481308,0.094088238844405,0.3040430622009569,0.2099548233565518,1.726115881219506e-14,CAST,lcr,coverage_per_lcr,5.178347643658519e-14
ribosomal protein,48,0.2626134301270417,0.344569905398207,0.2524847098027466,0.1713776525198939,0.4277601443863579,0.256382491866464,1.726115881219506e-14,CAST,lcr,coverage_per_lcr,5.178347643658519e-14
snRNA,109,0.1559356136820925,0.189607018457207,0.1551107862126273,0.0638297872340425,0.2857142857142857,0.2218844984802431,1.726115881219506e-14,CAST,lcr,coverage_per_lcr,5.178347643658519e-14
