rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,metric,level,p_fdr
pre-rRNA,1,0.3076263924592973,0.3076263924592973,,0.3076263924592973,0.3076263924592973,0.0,0.1294919856909217,CAST,property_fraction__aromatic_sticker_region,protein,0.2062279772114679
ribosomal protein,1,0.1867469879518072,0.1867469879518072,,0.1867469879518072,0.1867469879518072,0.0,0.1294919856909217,CAST,property_fraction__aromatic_sticker_region,protein,0.2062279772114679
snRNA,8,0.0591240244150253,0.1340580228659591,0.1733837078858969,0.0420228424240708,0.1280810933046101,0.0860582508805393,0.1294919856909217,CAST,property_fraction__aromatic_sticker_region,protein,0.2062279772114679
snoRNA,1,0.131578947368421,0.131578947368421,,0.131578947368421,0.131578947368421,0.0,0.1294919856909217,CAST,property_fraction__aromatic_sticker_region,protein,0.2062279772114679
tRNA,4,0.084044644473759,0.0917407573287586,0.0423583777288153,0.0573714963163688,0.1184139054861488,0.0610424091697799,0.1294919856909217,CAST,property_fraction__aromatic_sticker_region,protein,0.2062279772114679
unknown,34,0.1364210344879269,0.2214694442481593,0.2013705698042864,0.0803563452773112,0.3088704550234364,0.2285141097461252,0.1294919856909217,CAST,property_fraction__aromatic_sticker_region,protein,0.2062279772114679
diverse,2,0.2530988808613118,0.2530988808613118,0.0587753086642876,0.2323186711998866,0.2738790905227369,0.0415604193228502,0.0021028644433326,CAST,property_fraction__basic_enriched_region,protein,0.0066980126713557
mRNA,18,0.0756371026819575,0.1390591129291669,0.121447679493797,0.0575505328861623,0.20758368080352,0.1500331479173576,0.0021028644433326,CAST,property_fraction__basic_enriched_region,protein,0.0066980126713557
ncRNA,10,0.0705532354600534,0.1444088703274765,0.1723795916664835,0.0388266391084254,0.1767202486056768,0.1378936094972514,0.0021028644433326,CAST,property_fraction__basic_enriched_region,protein,0.0066980126713557
pre-rRNA,30,0.2103640775891053,0.2481360175006171,0.194214139336567,0.133647682627832,0.2877674120649002,0.1541197294370681,0.0021028644433326,CAST,property_fraction__basic_enriched_region,protein,0.0066980126713557
ribosomal protein,16,0.2815705128205128,0.371550124657635,0.2389286668057935,0.2409883145177263,0.4380683008589985,0.1970799863412722,0.0021028644433326,CAST,property_fraction__basic_enriched_region,protein,0.0066980126713557
snRNA,9,0.1022222222222222,0.132470938299215,0.1072593229007872,0.0418679549114331,0.1730279898218829,0.1311600349104497,0.0021028644433326,CAST,property_fraction__basic_enriched_region,protein,0.0066980126713557
snoRNA,11,0.2412451361867704,0.2510998210109107,0.2797605050827468,0.0272172732655435,0.3081250922587039,0.2809078189931604,0.0021028644433326,CAST,property_fraction__basic_enriched_region,protein,0.0066980126713557
tRNA,3,0.0690335305719921,0.0679979235845837,0.0318914676805678,0.0523173981973884,0.0841962524654832,0.0318788542680947,0.0021028644433326,CAST,property_fraction__basic_enriched_region,protein,0.0066980126713557
unknown,23,0.0743134087237479,0.1459193684200886,0.1632872052567179,0.0437540674170617,0.1585338097581127,0.1147797423410509,0.0021028644433326,CAST,property_fraction__basic_enriched_region,protein,0.0066980126713557
diverse,8,0.277465793292288,0.296168657776192,0.1953912647679507,0.1388478464502218,0.4968493603115005,0.3580015138612787,0.2262017432945808,CAST,property_fraction__cation_pi_rich_neighborhood,protein,0.308783332116412
mRNA,130,0.1833161492343529,0.2422368174884936,0.1886638417501453,0.1153725041985445,0.3204543860133973,0.2050818818148528,0.2262017432945808,CAST,property_fraction__cation_pi_rich_neighborhood,protein,0.308783332116412
ncRNA,20,0.1969928883179957,0.3062849332661688,0.2755175700624933,0.1307041413164341,0.4271693232396242,0.29646518192319,0.2262017432945808,CAST,property_fraction__cation_pi_rich_neighborhood,protein,0.308783332116412
pre-rRNA,11,0.3616766467065868,0.3848645893063635,0.2047263121247062,0.2588396038408116,0.4610174171080686,0.202177813267257,0.2262017432945808,CAST,property_fraction__cation_pi_rich_neighborhood,protein,0.308783332116412
ribosomal protein,2,0.2346854505708039,0.2346854505708039,0.1105401808043871,0.1956035948506194,0.2737673062909886,0.0781637114403692,0.2262017432945808,CAST,property_fraction__cation_pi_rich_neighborhood,protein,0.308783332116412
snRNA,11,0.2583333333333333,0.3023943500011795,0.1950214424632837,0.1401921989824759,0.4113269967170325,0.2711347977345565,0.2262017432945808,CAST,property_fraction__cation_pi_rich_neighborhood,protein,0.308783332116412
snoRNA,5,0.2643097643097643,0.2617902903363519,0.0928537714696082,0.1919191919191919,0.2703213610586011,0.0784021691394092,0.2262017432945808,CAST,property_fraction__cation_pi_rich_neighborhood,protein,0.308783332116412
tRNA,13,0.158953722334004,0.1970788198002753,0.1508207587964302,0.0715268225584594,0.3017241379310345,0.230197315372575,0.2262017432945808,CAST,property_fraction__cation_pi_rich_neighborhood,protein,0.308783332116412
unknown,75,0.2162921348314606,0.2497214550432172,0.1601780740300183,0.1037275533056297,0.3660566751273359,0.2623291218217061,0.2262017432945808,CAST,property_fraction__cation_pi_rich_neighborhood,protein,0.308783332116412
diverse,2,0.0090961114312396,0.0090961114312396,0.0003995890249159,0.0089548353766367,0.0092373874858425,0.0002825521092057,0.0028988395153241,CAST,property_fraction__disorder_rich_spacer_region,protein,0.0069250055088299
mRNA,128,0.0610060415024954,0.0885833667721987,0.0811580697150913,0.0372745259686727,0.1171817765567765,0.0799072505881038,0.0028988395153241,CAST,property_fraction__disorder_rich_spacer_region,protein,0.0069250055088299
