rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,level,metric,p_fdr
snRNA,77,0.08333333333333333,0.08123052507156439,0.26350727664021256,0.0,0.2272727272727273,0.2272727272727273,1.1996271798531673e-19,SEG_intermediate,lcr,ncpr,4.798508719412669e-19
snoRNA,38,-0.1180875576036866,-0.14954745493873922,0.40240724631816605,-0.4600840336134453,0.14162561576354674,0.601709649376992,1.1996271798531673e-19,SEG_intermediate,lcr,ncpr,4.798508719412669e-19
tRNA,23,0.04761904761904762,-0.0668041955407352,0.3016304428717983,-0.11466165413533837,0.1333333333333333,0.24799498746867166,1.1996271798531673e-19,SEG_intermediate,lcr,ncpr,4.798508719412669e-19
unknown,278,0.0,-0.04661548847092257,0.32286288502086263,-0.1111111111111111,0.1063311688311688,0.2174422799422799,1.1996271798531673e-19,SEG_intermediate,lcr,ncpr,4.798508719412669e-19
diverse,19,0.3658536585365854,0.3370539922683912,0.26620080358253756,0.09571428571428571,0.5334821428571428,0.4377678571428571,0.0002334231729646158,SEG_intermediate,lcr,frac_GS,0.00028010780755753894
mRNA,719,0.2278481012658228,0.274065637560158,0.2235492759377723,0.07142857142857142,0.44913793103448274,0.37770935960591134,0.0002334231729646158,SEG_intermediate,lcr,frac_GS,0.00028010780755753894
ncRNA,69,0.1428571428571428,0.2363378829487779,0.22960279940547418,0.07142857142857142,0.391304347826087,0.3198757763975155,0.0002334231729646158,SEG_intermediate,lcr,frac_GS,0.00028010780755753894
pre-rRNA,66,0.1835016835016835,0.21702138376059418,0.17191942288268142,0.06785714285714285,0.3333333333333333,0.2654761904761905,0.0002334231729646158,SEG_intermediate,lcr,frac_GS,0.00028010780755753894
ribosomal protein,18,0.11437908496732024,0.14421793933144358,0.14753841072991664,0.0,0.2333333333333333,0.2333333333333333,0.0002334231729646158,SEG_intermediate,lcr,frac_GS,0.00028010780755753894
snRNA,77,0.1578947368421053,0.17262167372226023,0.15914295148671412,0.05882352941176471,0.2361111111111111,0.17728758169934639,0.0002334231729646158,SEG_intermediate,lcr,frac_GS,0.00028010780755753894
snoRNA,38,0.1295715778474399,0.26439710387301835,0.25821923671129005,0.04595588235294117,0.4926470588235294,0.4466911764705882,0.0002334231729646158,SEG_intermediate,lcr,frac_GS,0.00028010780755753894
tRNA,23,0.1428571428571428,0.16558556633534996,0.17283896092793846,0.048809523809523817,0.20761494252873558,0.15880541871921178,0.0002334231729646158,SEG_intermediate,lcr,frac_GS,0.00028010780755753894
unknown,278,0.15894736842105267,0.22608132649968646,0.21795952435993057,0.04,0.3846153846153846,0.3446153846153846,0.0002334231729646158,SEG_intermediate,lcr,frac_GS,0.00028010780755753894
