rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,metric,level,p_fdr
mRNA,169,0.01239829523440527,0.02218606945460903,0.029070657829604392,0.00644122383252818,0.026138279932546374,0.019697056100018193,0.0003674150540814342,LCRFinder,property_fraction__other,protein,0.0006776766553057565
ncRNA,23,0.0049833887043189366,0.009205057794712798,0.014432774582572671,0.0031105811289094394,0.009511248750889007,0.006400667621979567,0.0003674150540814342,LCRFinder,property_fraction__other,protein,0.0006776766553057565
pre-rRNA,9,0.007804878048780488,0.00858766486951483,0.0063630527666867975,0.004626060138781804,0.009456264775413711,0.004830204636631907,0.0003674150540814342,LCRFinder,property_fraction__other,protein,0.0006776766553057565
ribosomal protein,1,0.09174311926605505,0.09174311926605505,,0.09174311926605505,0.09174311926605505,0.0,0.0003674150540814342,LCRFinder,property_fraction__other,protein,0.0006776766553057565
snRNA,19,0.008658008658008658,0.031712821523348075,0.05370745297547306,0.005912099336353574,0.023200708643980217,0.017288609307626643,0.0003674150540814342,LCRFinder,property_fraction__other,protein,0.0006776766553057565
snoRNA,8,0.025539829432045,0.07470522629638363,0.09654003259252628,0.010113727200058136,0.10688400063301154,0.0967702734329534,0.0003674150540814342,LCRFinder,property_fraction__other,protein,0.0006776766553057565
tRNA,9,0.0040609137055837565,0.021074604022746864,0.041072772236657035,0.003770028275212064,0.014184397163120567,0.010414368887908504,0.0003674150540814342,LCRFinder,property_fraction__other,protein,0.0006776766553057565
unknown,66,0.006763563787748075,0.016142760036246907,0.022549325199122446,0.004407678263312066,0.017215541833676382,0.012807863570364317,0.0003674150540814342,LCRFinder,property_fraction__other,protein,0.0006776766553057565
mRNA,60,0.057146317829457366,0.0872660129487051,0.09703244394832515,0.018303404828620043,0.11284497944803289,0.09454157461941284,0.5923550230156439,LCRFinder,property_fraction__sr_rs_repeat_region,protein,0.5923550230156439
pre-rRNA,1,0.023066485753052916,0.023066485753052916,,0.023066485753052916,0.023066485753052916,0.0,0.5923550230156439,LCRFinder,property_fraction__sr_rs_repeat_region,protein,0.5923550230156439
snRNA,10,0.054925117202835966,0.08564926775213091,0.09166592810766959,0.04374241358577895,0.08490603599299251,0.041163622407213565,0.5923550230156439,LCRFinder,property_fraction__sr_rs_repeat_region,protein,0.5923550230156439
unknown,5,0.023809523809523808,0.03720261382505442,0.02806009511796362,0.019169329073482427,0.03994673768308921,0.020777408609606786,0.5923550230156439,LCRFinder,property_fraction__sr_rs_repeat_region,protein,0.5923550230156439
