method,rna_class,metric,n,median,q1,q3,iqr,mean,sd,p_value,p_fdr
CAST,pre-rRNA,frac_negative,119,0.1711229946524064,0.1066266038655189,0.3306787552070571,0.2240521513415382,0.2361271731724565,0.1856322796224063,1.4714518091761014e-13,3.531484342022643e-13
CAST,ribosomal protein,frac_negative,48,0.100111234705228,0.0569955565683035,0.1714285714285714,0.1144330148602678,0.125495122418019,0.1233183417396691,1.4714518091761014e-13,3.531484342022643e-13
CAST,snRNA,frac_negative,109,0.1790123456790123,0.0909090909090909,0.2857142857142857,0.1948051948051948,0.1926525764769009,0.1386124576187461,1.4714518091761014e-13,3.531484342022643e-13
CAST,snoRNA,frac_negative,52,0.1738493938771317,0.0823412698412698,0.3041666666666667,0.2218253968253968,0.2122785893530577,0.1792609003364934,1.4714518091761014e-13,3.531484342022643e-13
CAST,tRNA,frac_negative,62,0.1759504862953139,0.1035714285714285,0.2630455407969639,0.1594741122255353,0.2141144284283258,0.1705436967074575,1.4714518091761014e-13,3.531484342022643e-13
CAST,unknown,frac_negative,460,0.1457866334578663,0.0695249130938586,0.241298556359578,0.1717736432657194,0.1670624952224485,0.1324554143574366,1.4714518091761014e-13,3.531484342022643e-13
FLPS,diverse,frac_negative,176,0.0444664031620553,0.0,0.1407142857142857,0.1407142857142857,0.1250750354564565,0.2036759416696545,6.31391363633006e-16,8.418551515106746e-16
FLPS,mRNA,frac_negative,3504,0.0666666666666666,0.0,0.1666666666666667,0.1666666666666667,0.1436687243861962,0.2106307108884075,6.31391363633006e-16,8.418551515106746e-16
FLPS,ncRNA,frac_negative,603,0.0687022900763358,0.0,0.1573787409700722,0.1573787409700722,0.145525277524305,0.2145789479886805,6.31391363633006e-16,8.418551515106746e-16
FLPS,pre-rRNA,frac_negative,497,0.1,0.0,0.3818181818181818,0.3818181818181818,0.2233738369408091,0.2737731746545259,6.31391363633006e-16,8.418551515106746e-16
FLPS,ribosomal protein,frac_negative,204,0.0465367965367965,0.0,0.0987704918032786,0.0987704918032786,0.083393366894854,0.1318885573116865,6.31391363633006e-16,8.418551515106746e-16
FLPS,snRNA,frac_negative,441,0.1,0.0,0.3055555555555556,0.3055555555555556,0.1962958813629886,0.2389153985984445,6.31391363633006e-16,8.418551515106746e-16
FLPS,snoRNA,frac_negative,185,0.12,0.0327868852459016,0.35,0.3172131147540983,0.2471609611691875,0.2924012718675191,6.31391363633006e-16,8.418551515106746e-16
FLPS,tRNA,frac_negative,385,0.0769230769230769,0.0,0.1666666666666667,0.1666666666666667,0.138539629928637,0.1990050870979577,6.31391363633006e-16,8.418551515106746e-16
FLPS,unknown,frac_negative,2104,0.073170731707317,0.0,0.1875,0.1875,0.154302168706932,0.2222665537151275,6.31391363633006e-16,8.418551515106746e-16
LCRFinder,diverse,frac_negative,93,0.0,0.0,0.0,0.0,0.078169679782583,0.2202310769762491,1.031411287604732e-32,4.1256451504189285e-32
LCRFinder,mRNA,frac_negative,3379,0.0,0.0,0.1666666666666667,0.1666666666666667,0.143954636819575,0.2719825459366186,1.031411287604732e-32,4.1256451504189285e-32
LCRFinder,ncRNA,frac_negative,396,0.0,0.0,0.4,0.4,0.1936616120971275,0.3097748955720916,1.031411287604732e-32,4.1256451504189285e-32
LCRFinder,pre-rRNA,frac_negative,320,0.2,0.0,0.7035714285714285,0.7035714285714285,0.3568446470875139,0.3879379213198501,1.031411287604732e-32,4.1256451504189285e-32
LCRFinder,ribosomal protein,frac_negative,52,0.0,0.0,0.0,0.0,0.0911508834302952,0.2262786438104566,1.031411287604732e-32,4.1256451504189285e-32
LCRFinder,snRNA,frac_negative,351,0.0,0.0,0.4,0.4,0.2079167609276559,0.2991735679894624,1.031411287604732e-32,4.1256451504189285e-32
LCRFinder,snoRNA,frac_negative,150,0.0,0.0,0.5,0.5,0.271017796419267,0.3468599847141194,1.031411287604732e-32,4.1256451504189285e-32
LCRFinder,tRNA,frac_negative,147,0.0,0.0,0.4,0.4,0.2038003412670671,0.3216260560314784,1.031411287604732e-32,4.1256451504189285e-32
LCRFinder,unknown,frac_negative,1483,0.0,0.0,0.3333333333333333,0.3333333333333333,0.1872192649238719,0.3053965734323058,1.031411287604732e-32,4.1256451504189285e-32
SEG,diverse,frac_negative,2,0.03125,0.015625,0.046875,0.03125,0.03125,0.0441941738241592,6.154493368197197e-12,2.648575294691113e-11
SEG,mRNA,frac_negative,287,0.0,0.0,0.0666666666666666,0.0666666666666666,0.1138819937684183,0.2365286424286265,6.154493368197197e-12,2.648575294691113e-11
SEG,ncRNA,frac_negative,34,0.0192307692307692,0.0,0.3295454545454545,0.3295454545454545,0.2012713253991144,0.2984998803766492,6.154493368197197e-12,2.648575294691113e-11
SEG,pre-rRNA,frac_negative,20,0.7529411764705882,0.5064338235294118,0.887987012987013,0.3815531894576012,0.6644443731676525,0.2762541769959367,6.154493368197197e-12,2.648575294691113e-11
SEG,ribosomal protein,frac_negative,4,0.0,0.0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.1666666666666666,6.154493368197197e-12,2.648575294691113e-11
SEG,snRNA,frac_negative,26,0.0419580419580419,0.0,0.1160130718954248,0.1160130718954248,0.1162451260208525,0.1981640058349994,6.154493368197197e-12,2.648575294691113e-11
SEG,snoRNA,frac_negative,21,0.4285714285714285,0.0227272727272727,0.5294117647058824,0.5066844919786097,0.3677475686816628,0.3532433486543903,6.154493368197197e-12,2.648575294691113e-11
SEG,tRNA,frac_negative,6,0.1746794871794871,0.0346102150537634,0.6019230769230769,0.5673128618693135,0.3175049562146336,0.3554809410820099,6.154493368197197e-12,2.648575294691113e-11
SEG,unknown,frac_negative,93,0.0333333333333333,0.0,0.5882352941176471,0.5882352941176471,0.2399544515547653,0.3354902369988802,6.154493368197197e-12,2.648575294691113e-11
SEG_intermediate,diverse,frac_negative,19,0.0476190476190476,0.0,0.0857142857142857,0.0857142857142857,0.0571877995595579,0.0666082884659251,1.414702546209436e-23,8.488215277256616e-23
SEG_intermediate,mRNA,frac_negative,719,0.032258064516129,0.0,0.1410488245931283,0.1410488245931283,0.12497517403982,0.201974112719476,1.414702546209436e-23,8.488215277256616e-23
SEG_intermediate,ncRNA,frac_negative,69,0.1,0.0,0.4528301886792453,0.4528301886792453,0.2259509088125505,0.2594292664749256,1.414702546209436e-23,8.488215277256616e-23
SEG_intermediate,pre-rRNA,frac_negative,66,0.5075757575757576,0.3020833333333333,0.6460084033613446,0.3439250700280112,0.4794862705310719,0.2638596304939437,1.414702546209436e-23,8.488215277256616e-23
SEG_intermediate,ribosomal protein,frac_negative,18,0.0448343079922027,0.0,0.0683908045977011,0.0683908045977011,0.083856061660173,0.1481663991336451,1.414702546209436e-23,8.488215277256616e-23
SEG_intermediate,snRNA,frac_negative,77,0.0714285714285714,0.0,0.25,0.25,0.1489917048987526,0.1921408913731159,1.414702546209436e-23,8.488215277256616e-23
SEG_intermediate,snoRNA,frac_negative,38,0.271889400921659,0.0492207792207792,0.4650101419878296,0.4157893627670503,0.3150018947395743,0.2801793983349838,1.414702546209436e-23,8.488215277256616e-23
SEG_intermediate,tRNA,frac_negative,23,0.2272727272727273,0.0601237842617152,0.3579365079365079,0.2978127236747926,0.2516683267958212,0.2295565817653867,1.414702546209436e-23,8.488215277256616e-23
